JP,EN
,
=====Map1===== (OP1),=====Map1===== (OP1)
,
"**********Event1********** (EV001) (1,0)","**********Event1********** (EV001) (1,0)"
-----Page1-----,-----Page1-----
{？？？},{？？？}
#Message#,#Message#
…,...
##,##
,
#Message#,#Message#
\.「おぉ～い…」,\."Heeeeeyyy..."
##,##
,
[ソウの影 / cara99-1],[ソウの影 / cara99-1]
#Message#,#Message#
「やあ」,"Hiya."
##,##
,
#Message#,#Message#
\.「いきなりだけど,"\.""Just a random question,"
　キミは\C[2]多数決\C[0]って知ってる？」, but you know what a \C[2]majority vote\C[0] is?"
##,##
,
#Choice#,#Choice#
当たり前だ,Obviously
知らない,No idea
##,##
,
<当たり前だ>,<当たり前だ>
,
{？？？} [ソウの影 / cara99-2],{？？？} [ソウの影 / cara99-2]
#Message#,#Message#
\.「あはは　怒らないでよ,"\.""Ahaha, no need to get mad."
 答えやすい質問から会話は はずむものさ」, It's helpful to start conversations
##, with an easy question."
,##
,
<知らない>,<知らない>
,
{？？？} [ソウの影 / cara99-2],{？？？} [ソウの影 / cara99-2]
#Message#,#Message#
\.「珍しいね！」,\."How unusual!"
##,##
,
#Message#,#Message#
\.「みんなで何かを決める時に　一番やりたい人が,"\.""It's when people are deciding something,"
　多かった選択肢を採用する…アレだよ」, and the choice that gets picked by the most people
##," is what gets used... Yeah, that."""
,##
,
<Choice End>,<Choice End>
,
{？？？} [ソウの影 / cara99-1],{？？？} [ソウの影 / cara99-1]
#Message#,#Message#
\.「おや？　誰かそこにいるみたいだよ」,\."Oh? Looks like somebody's over there."
##,##
,
{青い人},{青い人}
#Message#,#Message#
\.「多数決は大好きだ！,\."I love majority votes! They represent the way
　多くの人間の意志を取り入れる民主主義のあるべき姿！," democracy should be, following the will of the people!"
　争いを生まない方法だ！」, It's a method that minimizes conflict!"
##,##
,
{赤い人},{赤い人}
#Message#,#Message#
\.「多数決なんて大嫌い！,\."I hate majority votes!
　少数派の人間を黙らせるための手段に過ぎない！, They're just a way to silence the minority!
　表に出ない闇を増やすだけだ！」, It only makes more darkness build in the shadows!"
##,##
,
